
> my-project@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3002

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3002
- Network:       http://127.0.0.1:3002
✓ Ready in 10.7s

 GET / 200 in 416ms (next.js: 20ms, proxy.ts: 11ms, application-code: 385ms)
 GET / 200 in 260ms (next.js: 12ms, proxy.ts: 8ms, application-code: 240ms)
✓ Compiled in 386ms
✓ Compiled in 223ms
✓ Compiled in 737ms
 GET / 200 in 895ms (next.js: 250ms, proxy.ts: 73ms, application-code: 573ms)
 GET / 200 in 532ms (next.js: 41ms, proxy.ts: 437ms, application-code: 54ms)
 GET / 200 in 845ms (next.js: 291ms, proxy.ts: 7ms, application-code: 547ms)
✓ Compiled in 279ms
 GET / 200 in 193ms (next.js: 120ms, proxy.ts: 26ms, application-code: 47ms)
✓ Compiled in 205ms
 GET / 200 in 209ms (next.js: 132ms, proxy.ts: 21ms, application-code: 56ms)
✓ Compiled in 183ms
 GET / 200 in 176ms (next.js: 101ms, proxy.ts: 23ms, application-code: 52ms)
✓ Compiled in 165ms
 GET / 200 in 170ms (next.js: 98ms, proxy.ts: 20ms, application-code: 52ms)
✓ Compiled in 508ms
 GET / 200 in 63ms (next.js: 12ms, proxy.ts: 10ms, application-code: 41ms)
 GET / 200 in 679ms (next.js: 129ms, proxy.ts: 35ms, application-code: 515ms)
 GET / 200 in 681ms (next.js: 172ms, proxy.ts: 36ms, application-code: 473ms)
✓ Compiled in 142ms
 GET / 200 in 314ms (next.js: 188ms, proxy.ts: 76ms, application-code: 51ms)
 GET / 200 in 618ms (next.js: 13ms, proxy.ts: 10ms, application-code: 595ms)
 GET / 200 in 195ms (next.js: 4ms, proxy.ts: 6ms, application-code: 185ms)
 GET /listings/ 200 in 1693ms (next.js: 1535ms, proxy.ts: 4ms, application-code: 154ms)
 GET /demo/plot-3d/ 200 in 1786ms (next.js: 1634ms, proxy.ts: 8ms, application-code: 144ms)
 GET /login/?next=%2Fdashboard%2F 200 in 251ms (next.js: 31ms, proxy.ts: 8ms, application-code: 213ms)
 GET /login/?next=%2Fdashboard%2Famenities%2F 200 in 75ms (next.js: 7ms, proxy.ts: 4ms, application-code: 63ms)
 GET /login/?next=%2Fdashboard%2Fpayments%2F 200 in 41ms (next.js: 4ms, proxy.ts: 3ms, application-code: 35ms)
 GET /login/?next=%2Fdashboard%2Fvalue-tracker%2F 200 in 44ms (next.js: 4ms, proxy.ts: 3ms, application-code: 37ms)
 GET /login/?next=%2Fdashboard%2Fsettings%2F 200 in 48ms (next.js: 6ms, proxy.ts: 4ms, application-code: 38ms)
 GET / 200 in 162ms (next.js: 6ms, proxy.ts: 5ms, application-code: 151ms)
 GET /listings/ 200 in 84ms (next.js: 7ms, proxy.ts: 4ms, application-code: 73ms)
 GET /demo/plot-3d/ 200 in 47ms (next.js: 4ms, proxy.ts: 3ms, application-code: 40ms)
 GET /login/?next=%2Fdashboard%2Fpayments%2F 200 in 53ms (next.js: 4ms, proxy.ts: 3ms, application-code: 46ms)
 GET /login/?next=%2Fdashboard%2Famenities%2F 200 in 47ms (next.js: 4ms, proxy.ts: 3ms, application-code: 40ms)
 GET /login/?next=%2Fdashboard%2Fvalue-tracker%2F 200 in 46ms (next.js: 4ms, proxy.ts: 3ms, application-code: 39ms)
 GET /login/?next=%2Fdashboard%2Fsettings%2F 200 in 47ms (next.js: 4ms, proxy.ts: 3ms, application-code: 39ms)
 GET / 200 in 262ms (next.js: 20ms, proxy.ts: 13ms, application-code: 229ms)
 GET / 200 in 191ms (next.js: 15ms, proxy.ts: 8ms, application-code: 168ms)
 GET / 200 in 282ms (next.js: 20ms, proxy.ts: 17ms, application-code: 246ms)
 GET /icon.svg 404 in 188ms (next.js: 89ms, application-code: 99ms)
 GET /icon-dark-32x32.png 404 in 310ms (next.js: 34ms, application-code: 276ms)
 GET / 200 in 560ms (next.js: 26ms, proxy.ts: 19ms, application-code: 515ms)
 GET / 200 in 350ms (next.js: 21ms, proxy.ts: 21ms, application-code: 308ms)
 GET / 200 in 457ms (next.js: 27ms, proxy.ts: 19ms, application-code: 411ms)
 GET / 200 in 62ms (next.js: 15ms, proxy.ts: 15ms, application-code: 32ms)
 GET /demo/plot-3d/ 200 in 111ms (next.js: 24ms, proxy.ts: 11ms, application-code: 75ms)
 GET / 200 in 271ms (next.js: 28ms, proxy.ts: 34ms, application-code: 210ms)
 GET / 200 in 294ms (next.js: 15ms, proxy.ts: 10ms, application-code: 268ms)
 GET / 200 in 745ms (next.js: 31ms, proxy.ts: 20ms, application-code: 694ms)
 GET / 200 in 518ms (next.js: 14ms, proxy.ts: 10ms, application-code: 493ms)
 GET / 200 in 510ms (next.js: 10ms, proxy.ts: 8ms, application-code: 491ms)
